title,genre
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']"
Kuroko No Basket,"['thể thao', 'học đường']"
Date A Live Season 2,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']"
One Piece Special 9 : Episode of Sabo,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Saenai Heroine no Sodatekata [BD],"['hài hước', 'drama', 'học đường', 'romance']"
Hyouka,"['học đường', 'đời thường', 'mystery']"
Magi: The Kingdom Of Magic [SS2],"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
Nozoki Ana BD,"['hài hước', 'ecchi', 'drama']"
Jujutsu Kaisen (TV),"['hành động', 'kinh dị', 'học đường', 'shounen', 'siêu nhiên', 'demons']"
Kuroko No Basket 2,"['thể thao', 'học đường']"
Hentai Ouji To Warawanai Neko,"['hài hước', 'học đường', 'harem', 'romance', 'siêu nhiên']"
Death March kara Hajimaru Isekai Kyousoukyoku,"['phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
Seirei Tsukai no Blade Dance,"['hành động', 'hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'fantasy', 'seinen', 'siêu nhiên']"
Kamen Rider Gaim,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']"
Haikyuu!!,"['hài hước', 'drama', 'thể thao', 'học đường', 'shounen']"
One Punch Man,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']"
Princess Connect! Re:Dive,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'phép thuật', 'drama', 'harem', 'romance', 'viễn tưởng', 'fantasy']"
Boku Wa Tomodachi Ga Sukunai BD,"['hài hước', 'ecchi', 'học đường', 'harem', 'đời thường', 'romance']"
Tensei shitara Slime Datta Ken 2nd Season,"['shounen', 'fantasy']"
Shinmai Maou no Keiyakusha BD,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
Dororo,"['hành động', 'phiêu lưu', 'shounen', 'lịch sử', 'siêu nhiên', 'demons']"
Pokemon (2019),"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
One Piece Special 6,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Grisaia no Kajitsu,"['drama', 'harem', 'romance', 'psychological']"
Isekai wa Smartphone to Tomo ni.,"['hài hước', 'phiêu lưu', 'phép thuật', 'harem', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']"
Date A Live Ⅲ,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']"
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
Black Bullet,"['hành động', 'viễn tưởng', 'seinen', 'mystery']"
High School DxD Hero,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
Rokudenashi Majutsu Koushi to Akashic Records,"['hành động', 'phép thuật', 'học đường', 'fantasy']"
Katekyo Hitman Reborn,"['hành động', 'super power', 'siêu nhiên']"
Maken-ki! Bd,"['hành động', 'ecchi', 'học đường', 'harem', 'super power', 'martial arts']"
To Love-ru Trouble Uncen [bd],"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']"
Thần Vô Gia Cư [SS1-BD],"['hành động', 'phiêu lưu', 'shounen', 'blu-ray', 'siêu nhiên']"
Bakemonogatari [BD],"['hài hước', 'siêu nhiên', 'mystery']"
One Piece: Z,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
One Piece 3D: Straw Hat Chase,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Sword Art Online II [BD],"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
One Piece Film: Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Plunderer,"['hành động', 'ecchi', 'shounen', 'fantasy']"
Ore-tachi Ni Tsubasa Wa Nai [BD],"['hài hước', 'ecchi', 'drama', 'harem', 'romance', 'dementia']"
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai [BD],"['hài hước', 'ecchi', 'học đường']"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['hài hước', 'học đường', 'romance', 'seinen', 'psychological']"
One Piece Special 8,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Sword Art Online: Alicization - Đại Chiến Underworld,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Chuunibyou Demo Koi Ga Shitai,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
Sakurasou No Pet Na Kanojo [BD],"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['hài hước', 'đời thường']"
Monster Musume no Iru Nichijou [BD],"['hài hước', 'ecchi', 'harem', 'romance', 'blu-ray', 'fantasy', 'seinen']"
One Piece: Strong World,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Angel Beats! [BD],"['hành động', 'hài hước', 'drama', 'học đường', 'siêu nhiên']"
The Best Of One Piece,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Inou-Batoru wa Nichijou-kei no Naka de,"['hài hước', 'học đường', 'romance', 'siêu nhiên']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['hài hước', 'học đường', 'romance']"
IS: Infinite Stratos 1,"['hành động', 'hài hước', 'ecchi', 'mecha', 'harem', 'viễn tưởng']"
Fate/stay night: Unlimited Blade Works (2014-2015),"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
One Piece Ova 1,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Shinmai Maou no Testament Burst [BD],"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
Fate/Zero BD,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
Sword Art Online: Alicization - Đại Chiến Underworld 2,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
One Piece Special 7,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Sử Thi Về Một Hiệp Sĩ Lưu Ban,"['hành động', 'học đường', 'romance', 'fantasy']"
Arifureta Shokugyou de Sekai Saikyou 2nd Season,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
One Piece Glorious Island,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Boku no Hero Academia 2nd Season,"['hành động', 'học đường', 'super power']"
Quan Zhi Gao Shou,"['hành động', 'game', 'hoạt hình trung quốc']"
Mirai Nikki Gasai Yuno [BD],"['hành động', 'shounen', 'siêu nhiên', 'mystery', 'psychological', 'thriller']"
Beelzebub,"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên', 'demons']"
One Piece Special 3,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Highschool Of The Dead Uncensor [bd],"['hành động', 'ecchi', 'kinh dị', 'blu-ray', 'siêu nhiên']"
Seikon No Qwaser,"['hành động', 'ecchi', 'seinen', 'super power', 'siêu nhiên']"
Yu-Gi-Oh! Arc-V,"['hành động', 'shounen', 'fantasy', 'game']"
One Piece Special 1,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Dragon Ball Z,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']"
One Piece Special 4,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Doraemon New Series [3f Fansub],"['hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'kid']"
One Piece: The Great Gold Pirate,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Kono Subarashii Sekai ni Shukufuku wo!,"['hài hước', 'phiêu lưu', 'phép thuật', 'fantasy', 'siêu nhiên', 'parody']"
No Game No Life BD,"['drama', 'romance', 'fantasy', 'game', 'siêu nhiên']"
Nanatsu no Taizai: Thất Hình Đại Tội 2nd Season,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']"
Gotoubun no Hanayome,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']"
Yu-gi-oh ! Zexal - Yugioh Zexal,"['hành động', 'shounen', 'fantasy', 'game']"
Kiss X Sis (TV),"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'seinen']"
Nande Koko ni Sensei ga!?,"['hài hước', 'ecchi', 'học đường', 'seinen']"
One Piece Special 2,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Akatsuki no Yona (Yona Của Bình Minh),"['phiêu lưu', 'romance', 'fantasy', 'shoujo']"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['hài hước', 'học đường', 'romance', 'siêu nhiên']"
"Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.","['ecchi', 'romance', 'josei']"
Araiya-san!: Ore to Aitsu ga Onnayu de!?,"['hài hước', 'ecchi', 'romance']"
Boku no Hero Academia 3rd Season,"['hành động', 'học đường', 'super power']"
One Piece: The Giant Mechanical Soldier of Karakuri Castle,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
One Piece Ova 2,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Mahou Sensou - Magical Warface,"['hành động', 'phép thuật', 'viễn tưởng']"
One Piece: Heart of Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy']"
Ichiban Ushiro no Daimaou,"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'harem', 'fantasy']"
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri [BD]","['hành động', 'phiêu lưu', 'fantasy', 'military']"
One Piece: The Cursed Holy Sword,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
 Maou Gakuin no Futekigousha,"['phép thuật', 'học đường', 'viễn tưởng']"
One Piece Special 5,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Saijaku Muhai no Bahamut,"['hành động', 'ecchi', 'mecha', 'học đường', 'harem', 'romance', 'fantasy', 'siêu nhiên']"
One Piece: Dead End Adventure,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Guilty Crown,"['hành động', 'drama', 'romance', 'viễn tưởng', 'super power']"
Jojos Bizarre Adventure,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']"
One Piece: Clockwork Island Adventure,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
"One Piece: Episode of Chopper Plus: Bloom in Winter, Miracle Sakura","['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Magi: The Labyrinth of Magic [SS1],"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
Kono Subarashii Sekai ni Shukufuku wo! 2,"['hài hước', 'phiêu lưu', 'phép thuật', 'fantasy', 'siêu nhiên', 'parody']"
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance']"
Charlotte,"['drama', 'học đường', 'super power']"
Masou Gakuen HxH Blu-ray,"['ecchi', 'harem', 'blu-ray']"
One Piece: Episode of Alabasta: The Desert Princess,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']"
Grappler Baki,"['hành động', 'shounen', 'martial arts']"
Isekai No Seikishi Monogatari,"['hành động', 'hài hước', 'ecchi', 'mecha', 'học đường', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
One Piece: Phần Về Biển Đông,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['hành động', 'phép thuật', 'fantasy', 'siêu nhiên']"
Biệt Đội Lính Cứu Hỏa,"['hành động', 'shounen', 'viễn tưởng']"
Lớp Học Ám Sát - Assassination Classroom [Phần 2],"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên']"
One Piece: Baron Omatsuri and the Secret Island,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
One Piece: Chopper's Kingdom on the Island of Strange,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Taimadou Gakuen 35 Shiken Shoutai,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'siêu nhiên', 'military']"
Zero No Tsukaima SS1,"['ecchi', 'phiêu lưu', 'phép thuật', 'romance', 'fantasy']"
Toaru Majutsu No Index,"['hành động', 'phép thuật', 'viễn tưởng', 'super power']"
One Piece: Episode of Sorajima,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
To LOVE-Ru Darkness BD,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']"
Masou Gakuen HxH Special,"['ecchi', 'harem', 'blu-ray']"
Boku no Hero Academia,"['hành động', 'học đường', 'super power']"
Owari no Seraph [BD],"['drama', 'shounen', 'siêu nhiên', 'vampire']"
Netoge no Yome wa Onnanoko ja Nai to Omotta?,"['hài hước', 'ecchi', 'học đường', 'romance', 'game']"
Inuyasha,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'romance', 'lịch sử', 'fantasy', 'siêu nhiên', 'demons']"
Grand Blue,"['hài hước', 'đời thường', 'seinen']"
One Piece: Adventure of Nebulandia - Cuộc Phiêu Lưu Đến Vùng Đất Nebulandia,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
High School Dxd Specials,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
Kamen Rider Drive,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']"
Sousei no Onmyouji,"['hành động', 'shounen', 'romance', 'fantasy', 'siêu nhiên']"
Shokugeki no Souma: Ni no Sara,"['ecchi', 'học đường', 'shounen', 'blu-ray']"
Detective Conan Movie [01 - 22],"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']"
JoJo no Kimyou na Bouken: Ougon no Kaze,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']"
One Piece TV Special: Phần Về Đảo Trên Trời Skypiea,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Hagure Yuusha No Estetica BD,['đang cập nhật']
Isekai Maou to Shoukan Shoujo no Dorei Majutsu BD,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
Ore No Imouto Ga Konnani Kawaii Wake Ga Nai SS2 BD,"['hài hước', 'đời thường']"
Tokyo Ghoul:re 2nd Season,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']"
Sword Art Online Movie: Ordinal Scale,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Dragon Ball Kai,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']"
Toradora BD,"['hành động', 'drama', 'viễn tưởng', 'seinen', 'space']"
Sword Art Offline,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Gakusen Toshi Asterisk 2nd Season,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'viễn tưởng', 'fantasy', 'siêu nhiên']"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['drama', 'fantasy', 'psychological', 'thriller', 'xuyên không - chuyển kiếp']"
Code Geass: Hangyaku No Lelouch R1,"['hành động', 'mecha', 'học đường', 'viễn tưởng', 'super power', 'military']"
Shokugeki no Souma: San no Sara,"['ecchi', 'học đường', 'shounen', 'blu-ray']"
Motto To LOVE-Ru,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']"
Ao No Exorcist,"['hành động', 'shounen', 'fantasy', 'siêu nhiên', 'demons']"
Masamune-kun no Revenge,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']"
Sword Art Online: Extra Edition,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Sora No Otoshimono SS1,"['hài hước', 'ecchi', 'shounen', 'harem', 'romance', 'viễn tưởng', 'siêu nhiên']"
Gintama (2015),"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']"
Goblin Slayer,"['hành động', 'fantasy']"
Kuroshitsuji-Hắc Quản Gia SS1,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'fantasy', 'đang cập nhật', 'siêu nhiên', 'demons']"
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']"
Mahouka Koukou no Rettousei: Raihousha-hen,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']"
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['hành động', 'hài hước', 'phiêu lưu', 'viễn tưởng', 'fantasy']"
Rescue Me! Ova,"['ecchi', 'harem', 'romance']"
Kaifuku Jutsushi no Yarinaoshi,"['ecchi', 'fantasy', 'super power', 'psychological', 'tragedy']"
High School Dxd OVA,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
Yuragi-sou no Yuuna-san,"['hài hước', 'ecchi', 'shounen', 'harem', 'romance', 'siêu nhiên']"
Fullmetal Alchemist: Brotherhood [BD],"['hành động', 'phiêu lưu', 'phép thuật', 'drama', 'shounen', 'blu-ray', 'fantasy']"
Masou Gakuen HxH,"['ecchi', 'harem', 'blu-ray']"
Cross Ange: Rondo of Angel and Dragon,"['hành động', 'hài hước', 'mecha', 'viễn tưởng']"
Fate/Apocrypha,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
Kekkai Sensen,"['hành động', 'hài hước', 'shounen', 'fantasy', 'super power', 'siêu nhiên', 'vampire']"
