link,title1,title2,genre
https://animetvn.pro/thong-tin-phim/f4656-pokemon-season-21-sun-moon.html,Pokemon Season 21: Sun & Moon,Pocket Monsters Sun & Moon | Pokémon Sun & Moon | Pokemon Phần 21,"['hành động', 'học đường', 'kids', 'game']"
https://animetvn.pro/thong-tin-phim/f3843-overlord.html,Overlord,Over Lord | オーバーロード,"['hành động', 'phiêu lưu', 'giả tưởng', 'siêu nhiên', 'game', 'isekai']"
https://animetvn.pro/thong-tin-phim/f5006-yeu-than-ky.html,Yêu Thần Ký,Yêu Thần Ký,"['hành động', 'giả tưởng']"
https://animetvn.pro/thong-tin-phim/f5685-sword-art-online-alicization-war-of-underworld-ss4.html,Sword Art Online: Alicization - War of Underworld (Ss4),"Sword Art Online: Alicization 2nd Season, Sword Art Online III 2nd Season, SAO Alicization 2nd Season, Sword Art Online 3 2nd Season, SAO 3 2nd Season","['hành động', 'phiêu lưu', 'giả tưởng', 'tình yêu', 'game', 'isekai']"
https://animetvn.pro/thong-tin-phim/f5384-sword-art-online-alicization.html,Sword Art Online: Alicization,Sword Art Online: Alicization,"['hành động', 'giả tưởng', 'game', 'viễn tưởng', 'isekai']"
https://animetvn.pro/thong-tin-phim/f5624-dr-stone.html,Dr. Stone,Dr Stone,"['phiêu lưu', 'viễn tưởng', 'seinen']"
https://animetvn.pro/thong-tin-phim/f3584-shinmai-maou-no-testament.html,Shinmai Maou no Testament,The Testament of Sister New Devil [Blu-ray],"['hành động', 'ecchi', 'harem', 'giả tưởng', 'shounen']"
https://animetvn.pro/thong-tin-phim/f3269-world-trigger.html,World Trigger,World Trigger,"['hành động', 'hài hước', 'vũ trụ', 'siêu nhiên', 'shounen', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f4121-gakusen-toshi-asterisk.html,Gakusen Toshi Asterisk,The Asterisk War: The Academy City on the Water | Academy Battle City Asterisk,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f5984-jujutsu-kaisen.html,Jujutsu Kaisen,Sorcery Fight,"['hành động', 'học đường', 'kinh dị', 'siêu nhiên', 'shounen', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f5786-pocket-monsters.html,Pocket Monsters,Pokemon (2019),"['hành động', 'kids', 'game']"
https://animetvn.pro/thong-tin-phim/f5623-arifureta-shokugyou-de-sekai-saikyou.html,Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest | From Common Job Class to the Strongest in the World,"['hành động', 'phiêu lưu', 'harem', 'giả tưởng', 'isekai']"
https://animetvn.pro/thong-tin-phim/f4086-one-punch-man.html,One Punch Man,One Punch-Man | One-Punch Man | Đấm phát chết luôn,"['hành động', 'hài hước', 'siêu nhiên', 'siêu năng lực', 'parody', 'viễn tưởng', 'seinen']"
https://animetvn.pro/thong-tin-phim/f2443-strike-the-blood.html,Strike The Blood,Strike The Blood [Blu-ray],"['hành động', 'học đường', 'hài hước', 'giả tưởng', 'tình yêu', 'ma cà rồng']"
https://animetvn.pro/thong-tin-phim/f4784-boku-no-hero-academia-2nd-season.html,Boku no Hero Academia 2nd Season,My Hero Academia 2,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']"
