Unnamed: 0,link,title1,title2,genre
29,https://anime47.com/phim/one-punch-man-2/m6572.html,One Punch Man 2,One Punch Man Season 2 | One Punch-Man 2 | One-Punch Man 2 | OPM 2,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']"
30,https://anime47.com/phim/high-school-dxd-new/m5606.html,High School Dxd New [BD],High School Dxd New [Bluray] || High School Dxd [SS2],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
31,https://anime47.com/phim/hunter-x-hunter-2011/m4209.html,Hunter X Hunter 2011,Hunter X Hunter 2011,"['hành động', 'phiêu lưu', 'shounen', 'fantasy', 'super power']"
32,https://anime47.com/phim/tokyo-ghoul/m4219.html,Tokyo Ghoul [BD],Tokyo Ghoul [Blu-ray],"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']"
33,https://anime47.com/phim/shigatsu-wa-kimi-no-uso-thang-tu-la-loi-noi-doi-cua-em/m4456.html,Shigatsu wa Kimi no Uso (Tháng tư là lời nói dối của em) [BD],Shigatsu wa Kimi no Uso (Tháng tư là lời nói dối của em),"['drama', 'học đường', 'romance', 'blu-ray', 'âm nhạc']"
34,https://anime47.com/phim/world-trigger/m4433.html,World Trigger,World Trigger,"['hành động', 'viễn tưởng', 'siêu nhiên']"
35,https://anime47.com/phim/arifureta-shokugyou-de-sekai-saikyou/m7317.html,Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
36,https://anime47.com/phim/fairy-tail-2018/m7020.html,Fairy Tail (2018),Hội Pháp Sư Fairy Tail | Fairy Tail Final Series,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
37,https://anime47.com/phim/kagaku-na-yatsura-18/m3438.html,Kagaku Na Yatsura 18+,Kagaku Na Yatsura 18+,"['hài hước', 'ecchi', 'học đường', 'romance', 'viễn tưởng', 'seinen']"
38,https://anime47.com/phim/log-horizon-chan-troi-ky-luc/m4423.html,Log Horizon: Chân Trời Ký Lục,Log Horizon: Chân Trời Ký Lục,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game']"
39,https://anime47.com/phim/absolute-duo/m4969.html,Absolute Duo,Absolute Duo,"['hành động', 'ecchi', 'học đường', 'harem', 'romance', 'siêu nhiên']"
40,https://anime47.com/phim/overlord-ii/m6571.html,Overlord II,Overlord Season 2,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']"
41,https://anime47.com/phim/kenja-no-mago/m7175.html,Kenja no Mago,"Philosopher's Grandson, Magi's Grandson","['hành động', 'hài hước', 'phép thuật', 'fantasy']"
42,https://anime47.com/phim/date-a-live-bd/m2962.html,Date A Live BD,Date A Live BD,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']"
43,https://anime47.com/phim/dau-la-dai-luc/m6678.html,Đấu La Đại Lục,Đấu La Đại Lục,"['hành động', 'phiêu lưu', 'martial arts', 'hoạt hình trung quốc']"
44,https://anime47.com/phim/overlord-iii/m6765.html,Overlord III,Overlord III,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']"
45,https://anime47.com/phim/vua-bep-soma-shokugeki-no-souma/m4810.html,Vua bếp Soma - Shokugeki no Souma [BD],Shokugeki no Souma [Blu-ray],"['ecchi', 'học đường', 'shounen', 'blu-ray']"
46,https://anime47.com/phim/jojos-bizarre-adventure-stardust-crusaders/m4007.html,Jojos Bizarre Adventure: Stardust Crusaders,Dai San Bu Kujo Jotaro: Mirai E No Isan | Jojo's Bizarre Adventure Part 3 | Jojo No Kimyou Na Bouken: Stardust Crusaders,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']"
47,https://anime47.com/phim/log-horizon-chan-troi-ky-luc-2/m5021.html,Log Horizon: Chân Trời Ký Lục 2,Log Horizon: Chân Trời Ký Lục 2,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game']"
48,https://anime47.com/phim/yahari-ore-no-seishun-love-come-wa-machigatteiru/m2955.html,Yahari Ore No Seishun Love Come Wa Machigatteiru,Yahari Ore no Seishun Love Comedy wa Machigatteiru,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
49,https://anime47.com/phim/fate-stay-night/m1369.html,Fate Stay Night,Fate/Stay Night | Fate - Stay Night,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
50,https://anime47.com/phim/madan-no-ou-to-vanadis-ma-dan-de-vuong-biet-chien-co/m4425.html,Madan no Ou to Vanadis: Ma Đạn Đế Vương Biệt Chiến Cơ,"Lord Marksman and Vanadis | Madan no Ou to Senki, The King of the Magic Bullet and Vanadis","['ecchi', 'phiêu lưu', 'harem', 'romance', 'fantasy']"
