link,title1,title2,genre
https://anime47.com/phim/nhat-ky-thuong-ngay-cua-tien-vuong/m7515.html,Nhật Ký Thường Ngày Của Tiên Vương,Cuộc Sống Thường Ngày Của Tiên Vương,"['hành động', 'hài hước', 'phép thuật', 'học đường', 'super power', 'siêu nhiên']"
https://anime47.com/phim/thon-phe-tinh-khong/m7886.html,Thôn Phệ Tinh Không,Swallowed Star,"['phiêu lưu', 'hoạt hình trung quốc']"
https://anime47.com/phim/dau-pha-thuong-khung-phan-5/m8884.html,Đấu Phá Thương Khung Phần 5,Đấu Phá Thương Khung Phần 5,"['hành động', 'super power', 'siêu nhiên', 'hoạt hình trung quốc']"
https://anime47.com/phim/boruto-naruto-next-generations/m6106.html,Boruto: Naruto Next Generations,BORUTO -NARUTO NEXT GENERATIONS- ( Naruto Season 3) | Boruto: Naruto những thế hệ kế tiếp,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
https://anime47.com/phim/dau-la-dai-luc/m6678.html,Đấu La Đại Lục,Đấu La Đại Lục,"['hành động', 'phiêu lưu', 'martial arts', 'hoạt hình trung quốc']"
https://anime47.com/phim/overlord-iv/m8667.html,Overlord IV,Overlord IV,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']"
https://anime47.com/phim/mobile-suit-gundam-the-witch-from-mercury/m8818.html,Mobile Suit Gundam: The Witch from Mercury,"Kidou Senshi Gundam: Suisei no Majo, G-Witch | Mobile Suit Gundam: Pháp sư đến từ Sao Thủy","['học đường', 'fantasy']"
https://anime47.com/phim/cuoc-song-thuong-ngay-cua-tien-vuong-phan-2/m8198.html,Cuộc Sống Thường Ngày Của Tiên Vương Phần 2,Nhật Ký Thường Ngày Của Tiên Vương Phần 2,"['hành động', 'hài hước', 'phép thuật', 'học đường', 'super power', 'siêu nhiên']"
https://anime47.com/phim/spy-x-family-part-2/m8826.html,Spy x Family Part 2,SPY×FAMILY,"['hành động', 'hài hước', 'kid']"
https://anime47.com/phim/akiba-maid-sensou/m8849.html,Akiba Maid Sensou,アキバ冥途戦争 | Akiba Maid War,['đang cập nhật']
https://anime47.com/phim/pokemon-2019/m7433.html,Pokemon (2019),Pocket Monsters,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
https://anime47.com/phim/urusei-yatsura-2022/m8821.html,Urusei Yatsura (2022),Urusei Yatsura (2022),"['hài hước', 'romance', 'viễn tưởng']"
https://anime47.com/phim/peter-grill-to-kenja-no-jikan/m7657.html,Peter Grill to Kenja no Jikan,Peter Grill and the Philosopher's Time,"['hài hước', 'fantasy', 'ecchi', 'harem']"
https://anime47.com/phim/naruto-shippuuden/m4742.html,Naruto Shippuuden,Naruto Shippuuden,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
https://anime47.com/phim/isekai-meikyuu-de-harem-wo/m8676.html,Isekai Meikyuu de Harem wo,A Harem in a Fantasy World Labyrinth | Lập Harem Chốn Mê Cung Ở Dị Giới,"['hành động', 'ecchi', 'phiêu lưu', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/koukyuu-no-karasu/m8838.html,Koukyuu no Karasu,Kokyu no Karasu | 後宮の烏 | Raven of the Inner Palace,"['fantasy', 'lịch sử']"
https://anime47.com/phim/berserk-ougon-jidai-hen-memorial-edition/m8851.html,Berserk: Ougon Jidai-hen - Memorial Edition,Berserk: The Golden Age Arc - Memorial Edition | ベルセルク 黄金時代篇　MEMORIAL EDITION | Berserk: Thời kỳ Hoàng Kim,"['hành động', 'drama', 'fantasy', 'kinh dị', 'siêu nhiên', 'máu me', 'military', 'mythology']"
https://anime47.com/phim/showtime-uta-no-oneesan-datte-shitai/m8182.html,Showtime!: Uta no Oneesan datte Shitai,,['hentai']
https://anime47.com/phim/engage-kiss/m8678.html,Engage Kiss,Engage Kiss,"['hài hước', 'harem', 'romance']"
https://anime47.com/phim/mushikaburi-hime/m8841.html,Mushikaburi-hime,Bibliophile Princess | 虫かぶり姫 | Princess of the Bibliophile.,"['drama', 'romance', 'lịch sử']"
https://anime47.com/phim/tru-tien/m8857.html,Tru Tiên,Tru Tiên,['hoạt hình trung quốc']
https://anime47.com/phim/long-toc/m8880.html,Long Tộc,Long Tộc,['hoạt hình trung quốc']
https://anime47.com/phim/vo-than-chua-te/m7828.html,Võ Thần Chúa Tể,Võ Thần Chúa Tể,"['phiêu lưu', 'phép thuật', 'hoạt hình trung quốc']"
https://anime47.com/phim/lieu-co-sai-lam-khi-tim-kiem-cuoc-gap-go-dinh-menh-trong-ham-nguc-iv-chuong-moi-phan-me-cung/m8669.html,Liệu Có Sai Lầm Khi Tìm Kiếm Cuộc Gặp Gỡ Định Mệnh Trong Hầm Ngục? IV: Chương Mới Phần Mê Cung,DanMachi 4th Season | Is It Wrong That I Want to Meet You in a Dungeon 4th Season | Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,"['hành động', 'hài hước', 'phiêu lưu', 'romance', 'fantasy']"
https://anime47.com/phim/pokemon-full/m1612.html,Pokemon Full,Pokemon,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
https://anime47.com/phim/detective-conan-tham-tu-lung-danh-conan-full/m7633.html,Detective Conan ( Thám Tử Lừng Danh Conan ) Full,Detective Conan ( Thám Tử Lừng Danh Conan ) Full,"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']"
https://anime47.com/phim/kantai-collection-itsuka-ano-umi-de/m8899.html,Kantai Collection  Itsuka Ano Umi de,Kantai Collection 1944,"['hành động', 'học đường', 'đời thường', 'viễn tưởng', 'military']"
https://anime47.com/phim/arifureta-shokugyou-de-sekai-saikyou-2nd-season/m7499.html,Arifureta Shokugyou de Sekai Saikyou 2nd Season,From Common Job Class to the Strongest in the World 2nd Season,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/cuoc-song-tai-di-gioi-cua-hien-gia-tai-sinh-toi-nhan-duoc-chuc-nghiep-thu-hai-va-da-tro-thanh-nguoi-manh-nhat-the-gioi/m8674.html,"Cuộc Sống Tại Dị Giới Của Hiền Giả Tái Sinh - Tôi Nhận Được Chức Nghiệp Thứ Hai, Và Đã Trở Thành Người Mạnh Nhất Thế Giới","Sekai Saikyou ni Narimashita | Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","['hành động', 'phiêu lưu', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/nho-ban-do-he-thong-chien-than/m8762.html,Nhờ Bạn Đó! Hệ Thống Chiến Thần,Nhờ Bạn Đó! Hệ Thống Chiến Thần,"['hành động', 'hài hước', 'siêu nhiên', 'hoạt hình trung quốc']"
https://anime47.com/phim/lianqi-lianle-3000-nian/m8883.html,Lianqi Lianle 3000 Nian,Luyện Khí 3000 Năm | I Have Refined Qi For 3000 Years! | 炼气练了3000年,"['hài hước', 'fantasy']"
https://anime47.com/phim/utawarerumono-futari-no-hakuoro/m8200.html,Utawarerumono: Futari no Hakuoro,Utawarerumono: Mask of Truth | Utwarerumono: Mặt Nạ Của Sự Thật,"['hành động', 'drama', 'viễn tưởng', 'fantasy']"
https://anime47.com/phim/nghich-thien-chi-ton/m8066.html,Nghịch Thiên Chí Tôn,Nghịch Thiên Chí Tôn,['hoạt hình trung quốc']
https://anime47.com/phim/than-an-vuong-toa/m8614.html,Thần Ấn Vương Tọa,Thần Ấn Vương Tọa,"['phiêu lưu', 'hoạt hình trung quốc']"
https://anime47.com/phim/kinsou-no-vermeil-gakeppuchi-majutsushi-wa-saikyou-no-yakusai-to-mahou-sekai-wo-tsukisusumu/m8677.html,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"['phép thuật', 'học đường', 'fantasy']"
https://anime47.com/phim/tinh-vuc-bon-van-nam/m8875.html,Tinh Vực Bốn Vạn Năm,Tinh Vực Bốn Vạn Năm,['hoạt hình trung quốc']
https://anime47.com/phim/youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e-tv-2nd-season/m8671.html,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,"Classroom of the Elite II, You-zitsu | Chào Mừng Đến Với Lớp Học Đề Cao Thực Lực 2","['hài hước', 'học đường', 'romance']"
https://anime47.com/phim/van-gioi-doc-ton/m7969.html,Vạn Giới Độc Tôn,Vạn Giới Độc Tôn,['hoạt hình trung quốc']
https://anime47.com/phim/kuro-no-shoukanshi/m8687.html,Kuro no Shoukanshi,Triệu Hồi Sư Áo Đen | Black Summoner | The Berserker Rises to Greatness.,"['hành động', 'fantasy']"
https://anime47.com/phim/linh-kiem-ton/m7826.html,Linh Kiếm Tôn,Linh Kiếm Tôn,"['phiêu lưu', 'phép thuật', 'hoạt hình trung quốc']"
https://anime47.com/phim/black-clover/m6408.html,Black Clover,Black Clover,"['hành động', 'hài hước', 'phép thuật', 'shounen', 'fantasy']"
https://anime47.com/phim/romantic-killer/m8894.html,Romantic Killer,ロマンティック・キラー | Romantic Killer,"['hài hước', 'romance', 'harem']"
https://anime47.com/phim/that-nghiep-chuyen-sinh-lam-lai-cuoc-doi-phan-2/m7967.html,Thất Nghiệp Chuyển Sinh: Làm Lại Cuộc Đời Phần 2,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,"['ecchi', 'drama', 'fantasy']"
https://anime47.com/phim/van-co-than-thoai/m8810.html,Vạn Cổ Thần Thoại,Vạn Cổ Thần Thoại,['hoạt hình trung quốc']
https://anime47.com/phim/fumetsu-no-anata-e/m7904.html,Fumetsu no Anata e,"Gửi em, người bất tử","['phiêu lưu', 'drama', 'siêu nhiên']"
https://anime47.com/phim/aika/m8893.html,AIKa,ＡＩＫａ | Agent AIKa | Agent AIKa,"['hành động', 'phiêu lưu', 'hài hước', 'viễn tưởng', 'ecchi']"
https://anime47.com/phim/jujutsu-kaisen-tv/m7676.html,Jujutsu Kaisen (TV),Sorcery Fight,"['hành động', 'kinh dị', 'học đường', 'shounen', 'siêu nhiên', 'demons']"
https://anime47.com/phim/naruto-phan-1/m1370.html,Naruto Phần 1,Naruto 1 | Naruto Dattebayo,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
https://anime47.com/phim/jujutsu-kaisen-0-movie/m8806.html,Jujutsu Kaisen 0 Movie,Gekijouban Jujutsu Kaisen 0,"['hành động', 'kinh dị', 'học đường', 'shounen', 'siêu nhiên', 'demons']"
https://anime47.com/phim/hoshi-no-samidare/m8686.html,Hoshi no Samidare,Lucifer Và Chiếc Búa Bánh Quy | The Lucifer and Biscuit Hammer,"['hành động', 'hài hước', 'phiêu lưu', 'drama']"
https://anime47.com/phim/pham-nhan-tu-tien-phong-khoi-thien-nam/m7834.html,Phàm Nhân Tu Tiên - Phong Khởi Thiên Nam,Phàm Nhân Tu Tiên - Phong Khởi Thiên Nam,"['phiêu lưu', 'martial arts', 'hoạt hình trung quốc']"
https://anime47.com/phim/mamahaha-no-tsurego-ga-motokano-datta/m8673.html,Mamahaha no Tsurego ga Motokano datta,"My Stepsister is My Ex-Girlfriend, Tsurekano | Đứa Con Mà Mẹ Kế Dẫn Về Từng Là Bạn Gái Cũ","['hài hước', 'romance']"
https://anime47.com/phim/vo-thuong-than-de/m7833.html,Vô Thượng Thần Đế,Vô Thượng Thần Đế,"['phiêu lưu', 'phép thuật', 'martial arts', 'hoạt hình trung quốc']"
https://anime47.com/phim/summertime-render/m8317.html,Summertime Render,Summer Time Rendering,"['siêu nhiên', 'mystery']"
https://anime47.com/phim/doc-bo-tieu-dao/m7829.html,Độc Bộ Tiêu Dao,Độc Bộ Tiêu Dao,"['phiêu lưu', 'martial arts', 'hoạt hình trung quốc']"
https://anime47.com/phim/one-piece-movie-14-stampede/m7510.html,One Piece Movie 14: Stampede,ONE PIECE STAMPEDE ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
https://anime47.com/phim/golden-kamuy-4th-season/m8833.html,Golden Kamuy 4th Season,ゴールデンカムイ | Golden Kamuy Season 4,"['hành động', 'phiêu lưu', 'lịch sử']"
https://anime47.com/phim/tate-no-yuusha-no-nariagari-season-2/m7877.html,Tate no Yuusha no Nariagari Season 2,Sự Trỗi Dậy của Khiên Anh Hùng 2,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'romance', 'fantasy', 'seinen']"
https://anime47.com/phim/van-gioi-tien-tung/m7824.html,Vạn Giới Tiên Tung,Vạn Giới Tiên Tung,"['phiêu lưu', 'phép thuật', 'hoạt hình trung quốc']"
